+FEMI+Sg+AGTatǫmęht+STAT      utǫmęhtih
+FEMI+Sg+AGT+SEMIⁿdraw+STAT     uteⁿdramęh
+FEMI+Sg+AGT+SEMIⁿgyaha+STAT    uteⁿgyahay
+FEMI+Sg+AGT+SEMIhšatur+STAT   utehšaturhaʔ
+FEMZ+Sg+AGTatǫmęht+STAT      ayutǫmęhtih
+FEMZ+Sg+AGT+SEMIⁿdraw+STAT     ayuteⁿdramęh
+FEMZ+Sg+AGT+SEMIⁿgyaha+STAT    ayuteⁿgyahay
+FEMZ+Sg+AGT+SEMIhšatur+STAT   ayutehšaturhaʔ
+2P+Sg+PATⁿdraw+STAT    saⁿdramęh
+2P+Sg+PATⁿgyaha+STAT   saⁿgyahay
+2P+Sg+PAThšatur+STAT  sahšaturhaʔ
+2P+Sg+AGTatǫmęht+STAT        satǫmęhtih
+2P+Sg+AGT+SEMIⁿdraw+STAT       sateⁿdramęh
+2P+Sg+AGT+SEMIⁿgyaha+STAT      sateⁿgyahay
+2P+Sg+AGT+SEMIhšatur+STAT     satehšaturhaʔ
+FEMI+Sg+AGTahskęnǫʔnyę+STAT ǫhskęnǫʔnyęʔ
+FEMI+Sg+AGT+SEMIwahst+STAT     ǫkwahstih
+FEMI+Sg+AGT+SEMIⁿdraw+HAB      ǫteⁿdrawahs
+FEMI+Sg+AGT+SEMIⁿgyaha+HAB     ǫteⁿgyahaš
+FEMZ+Sg+AGTahskęnǫʔnyę+STAT wahskęnǫʔnyęʔ
+FEMZ+Sg+AGT+SEMIwahst+STAT     wakwahstih
+FEMZ+Sg+AGT+SEMIⁿdraw+HAB      wateⁿdrawahs
+FEMZ+Sg+AGT+SEMIⁿgyaha+HAB     wateⁿgyahaš
+MASC+Sg+AGTⁿdraw+HAB   haⁿdrawahs
+MASC+Sg+AGTⁿgyaha+HAB  haⁿgyahaš
+MASC+Sg+AGTwahst+STAT  hawahstih
+MASC+Sg+AGTahskęnǫʔnyę+STAT hahskęnǫʔnyęʔ
+MASC+Sg+AGT+SEMIwahst+STAT     hakwahstih
+MASC+Sg+AGT+SEMIⁿdraw+HAB      hateⁿdrawahs
+MASC+Sg+AGT+SEMIⁿgyaha+HAB     hateⁿgyahaš
+MASC+Sg+AGTatǫmęht+STAT      hutǫmęhtih
+MASC+Sg+AGT+SEMIⁿdraw+STAT     huteⁿdramęh
+MASC+Sg+AGT+SEMIⁿgyaha+STAT    huteⁿgyahay
+MASC+Sg+AGT+SEMIhšatur+STAT   hutehšaturhaʔ
+MASC+Sg+PATⁿdraw+STAT  huⁿdramęh
+MASC+Sg+PATⁿgyaha+STAT huⁿgyahay
+MASC+Sg+PAThšatur+STAT        huhšaturhaʔ
+1P+Sg+AGTahskęnǫʔnyę+STAT   yahskęnǫʔnyęʔ
+1P+Sg+AGT+SEMIwahst+STAT       yakwahstih
+1P+Sg+AGT+SEMIⁿdraw+HAB        yateⁿdrawahs
+1P+Sg+AGT+SEMIⁿgyaha+HAB       yateⁿgyahaš
+1P+Sg+AGTⁿdraw+HAB     yeⁿdrawahs
+1P+Sg+AGTⁿgyaha+HAB    yeⁿgyahaš
+1P+Sg+AGTwahst+STAT    yewahstih
+FEMI+Sg+PATⁿdraw+STAT  ayuⁿdramęh
+FEMI+Sg+PATⁿgyaha+STAT ayuⁿgyahay
+FEMI+Sg+PAThšatur+STAT        ayuhšaturhaʔ
+FEMZ+Sg+PATⁿdraw+STAT  uⁿdramęh
+FEMZ+Sg+PATⁿgyaha+STAT uⁿgyahay
+FEMZ+Sg+PAThšatur+STAT        uhšaturhaʔ
+FEMI+Sg+AGTⁿdraw+HAB   eⁿdrawahs
+FEMI+Sg+AGTⁿgyaha+HAB  eⁿgyahaš
+FEMI+Sg+AGTwahst+STAT  ewahstih
+FEMZ+Sg+AGTⁿdraw+HAB   yaⁿdrawahs
+FEMZ+Sg+AGTⁿgyaha+HAB  yaⁿgyahaš
+FEMZ+Sg+AGTwahst+STAT  yawahstih
+1P+Sg+AGTatǫmęht+STAT        ayatǫmęhtih
+1P+Sg+AGT+SEMIⁿdraw+STAT       ayateⁿdramęh
+1P+Sg+AGT+SEMIⁿgyaha+STAT      ayateⁿgyahay
+1P+Sg+AGT+SEMIhšatur+STAT     ayatehšaturhaʔ
+1P+Sg+PATⁿdraw+STAT    ayeⁿdramęh
+1P+Sg+PATⁿgyaha+STAT   ayeⁿgyahay
+1P+Sg+PAThšatur+STAT  ayehšaturhaʔ
+2P+Sg+AGTⁿdraw+HAB     šeⁿdrawahs
+2P+Sg+AGTⁿgyaha+HAB    šeⁿgyahaš
+2P+Sg+AGTwahst+STAT    šewahstih
+2P+Sg+AGTahskęnǫʔnyę+STAT   šahskęnǫʔnyęʔ
+2P+Sg+AGT+SEMIwahst+STAT       šakwahstih
+2P+Sg+AGT+SEMIⁿdraw+HAB        šateⁿdrawahs
+2P+Sg+AGT+SEMIⁿgyaha+HAB       šateⁿgyahaš
+FACT+MASC+Sg+AGTⁿdraw+PUNC     ahaⁿdrawaʔ
+FACT+MASC+Sg+AGTⁿgyaha+PUNC    ahaⁿgyahaʔ
+FACT+MASC+Sg+AGTwahst+PUNC     ahawahstaʔ
+FACT+MASC+Sg+AGTatǫmęht+PUNC ahatǫmęht
+FACT+MASC+Sg+AGT+SEMIwahst+PUNC        ahakwahstaʔ
+FACT+MASC+Sg+AGT+SEMIⁿdraw+PUNC        ahateⁿdrawaʔ
+FACT+MASC+Sg+AGT+SEMIⁿgyaha+PUNC       ahateⁿgyahaʔ
+FACT+FEMI+Sg+AGTatǫmęht+PUNC aʔǫtǫmęht
+FACT+FEMI+Sg+AGT+SEMIwahst+PUNC        aʔǫkwahstaʔ
+FACT+FEMI+Sg+AGT+SEMIⁿdraw+PUNC        aʔǫteⁿdrawaʔ
+FACT+FEMI+Sg+AGT+SEMIⁿgyaha+PUNC       aʔǫteⁿgyahaʔ
+FACT+FEMZ+Sg+AGTatǫmęht+PUNC aʔwatǫmęht
+FACT+FEMZ+Sg+AGT+SEMIwahst+PUNC        aʔwakwahstaʔ
+FACT+FEMZ+Sg+AGT+SEMIⁿdraw+PUNC        aʔwateⁿdrawaʔ
+FACT+FEMZ+Sg+AGT+SEMIⁿgyaha+PUNC       aʔwateⁿgyahaʔ
+FACT+1P+Sg+AGTatǫmęht+PUNC   aʔyatǫmęht
+FACT+1P+Sg+AGT+SEMIwahst+PUNC  aʔyakwahstaʔ
+FACT+1P+Sg+AGT+SEMIⁿdraw+PUNC  aʔyateⁿdrawaʔ
+FACT+1P+Sg+AGT+SEMIⁿgyaha+PUNC aʔyateⁿgyahaʔ
+FACT+1P+Sg+AGTⁿdraw+PUNC       aʔyeⁿdrawaʔ
+FACT+1P+Sg+AGTⁿgyaha+PUNC      aʔyeⁿgyahaʔ
+FACT+1P+Sg+AGTwahst+PUNC       aʔyewahstaʔ
+FACT+FEMI+Sg+AGTⁿdraw+PUNC     aʔeⁿdrawaʔ
+FACT+FEMI+Sg+AGTⁿgyaha+PUNC    aʔeⁿgyahaʔ
+FACT+FEMI+Sg+AGTwahst+PUNC     aʔewahstaʔ
+FACT+FEMZ+Sg+AGTⁿdraw+PUNC     aʔyaⁿdrawaʔ
+FACT+FEMZ+Sg+AGTⁿgyaha+PUNC    aʔyaⁿgyahaʔ
+FACT+FEMZ+Sg+AGTwahst+PUNC     aʔyawahstaʔ
+FACT+2P+Sg+AGTⁿdraw+PUNC       ahšeⁿdrawaʔ
+FACT+2P+Sg+AGTⁿgyaha+PUNC      ahšeⁿgyahaʔ
